stname,countyname,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20
LA ,Saint Tammany Parish,74,59,53,55,63,38,24,37,24,31,33,37,24,12,26,28,33,32,38,24,15,29,30
LA ,Tangipahoa Parish,85,70,64,64,76,46,31,53,39,44,46,49,35,24,37,41,43,44,48,31,23,43,39
LA ,Tensas Parish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LA ,Terrebonne Parish,82,72,67,68,78,44,31,52,39,45,47,54,30,19,42,42,43,44,53,20,14,41,44
LA ,Union Parish,80,79,77,66,69,47,22,50,31,53,44,53,25,19,37,33,47,47,48,20,20,47,51
LA ,Vermilion Parish,85,59,59,56,60,29,21,37,26,35,28,38,20,18,23,28,29,33,45,21,15,34,25
LA ,Vernon Parish,83,76,68,65,67,18,13,55,32,39,24,33,22,5,23,32,28,26,30,10,7,29,38
LA ,Washington Parish,77,50,51,54,55,36,18,34,24,41,39,36,25,15,30,25,27,33,42,19,20,35,29
LA ,Webster Parish,71,63,65,69,61,44,18,32,30,44,38,52,20,19,26,31,40,44,35,14,13,40,45
LA ,West Baton Rouge Parish,93,91,80,81,87,59,40,59,27,59,56,59,35,18,45,50,38,54,59,35,17,48,49
LA ,West Carroll Parish,74,78,68,78,52,39,16,39,28,57,45,65,32,34,51,58,63,57,63,25,41,57,41
LA ,West Feliciana Parish,99,81,82,82,107,58,25,49,33,48,48,64,28,21,29,42,37,47,64,32,27,30,33
LA ,Winn Parish,58,48,47,48,30,41,11,26,15,24,36,36,21,30,21,28,45,39,38,18,16,43,27
ME,Androscoggin County,69,59,49,39,54,8,1,32,13,22,22,17,10,0,1,15,19,0,1,1,0,6,10
ME,Aroostook County,86,33,49,31,45,6,1,32,15,14,31,19,2,0,4,11,26,1,2,1,0,5,5
ME,Cumberland County,64,41,42,28,41,12,4,8,7,15,10,20,3,0,0,9,11,0,1,2,0,4,7
ME,Franklin County,64,41,27,30,9,11,2,2,1,1,10,1,1,0,0,10,2,0,1,0,0,0,1
ME,Hancock County,78,59,53,38,36,16,0,20,13,25,24,24,13,0,3,23,14,3,2,5,0,13,14
ME,Kennebec County,65,44,43,38,40,10,1,27,2,30,29,24,9,0,1,14,23,0,3,1,0,7,8
ME,Knox County,94,52,34,56,38,1,1,13,1,25,22,22,4,0,0,8,4,0,0,1,0,10,22
ME,Lincoln County,55,49,38,6,12,3,0,0,1,6,12,12,1,0,0,0,15,0,0,0,0,0,0
ME,Oxford County,74,44,35,24,46,12,8,27,1,25,25,34,13,0,1,14,16,0,10,1,0,12,7
ME,Penobscot County,83,67,54,57,59,10,2,38,17,36,42,34,29,0,7,27,28,1,10,5,0,23,17
ME,Piscataquis County,63,90,10,16,20,11,1,14,1,37,22,32,2,0,1,29,5,1,1,1,0,3,8
ME,Sagadahoc County,38,39,33,20,33,0,0,6,1,5,8,18,1,0,0,20,6,0,1,0,0,13,8
ME,Somerset County,81,43,36,18,27,0,0,21,9,14,11,32,1,0,0,5,8,0,4,0,0,14,23
ME,Waldo County,76,40,42,43,38,1,0,23,4,30,20,32,0,0,0,13,33,0,0,0,0,1,21
ME,Washington County,49,48,43,48,38,1,1,10,1,10,23,12,7,1,1,1,3,0,1,0,0,2,1
ME,York County,59,42,37,27,39,16,5,16,8,18,21,27,3,0,3,14,17,1,2,2,0,7,10
MD,Allegany County,96,77,59,68,77,23,3,45,31,31,45,45,4,4,31,5,9,13,33,1,1,29,12
MD,Anne Arundel County,56,43,33,34,40,7,2,10,10,3,13,17,0,0,14,0,0,2,6,0,0,3,2
MD,Baltimore County,62,40,33,33,44,3,0,6,4,1,7,14,0,0,9,0,0,0,2,0,0,1,0
MD,Calvert County,67,47,31,48,49,10,5,13,15,8,17,24,0,0,24,0,0,1,7,0,0,6,3
MD,Caroline County,75,62,59,67,67,17,10,36,32,18,55,50,2,4,44,14,30,44,48,0,0,32,28
MD,Carroll County,56,36,31,32,31,11,2,10,6,3,12,17,0,0,16,0,0,1,6,0,0,3,1
MD,Cecil County,80,66,61,55,62,11,1,26,26,18,25,38,0,0,21,2,9,13,18,0,0,18,17
MD,Charles County,46,32,30,29,31,12,1,8,2,0,7,16,0,0,16,0,0,0,7,0,0,3,1
MD,City of Baltimore,41,25,17,16,24,2,1,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,1
MD,Dorchester County,46,54,43,34,58,12,0,9,14,17,13,25,10,4,22,5,5,9,26,2,0,12,12
MD,Frederick County,55,40,35,40,47,11,2,13,7,4,16,20,0,0,16,0,0,1,5,0,0,3,2
MD,Garrett County,111,51,61,60,66,18,28,38,25,50,40,36,27,37,43,8,18,19,50,25,12,42,26
MD,Harford County,59,42,37,36,43,17,3,13,14,8,18,21,0,0,19,0,2,5,10,0,0,6,3
MD,Howard County,41,23,14,12,24,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
MD,Kent County,74,87,81,30,70,24,1,25,2,0,25,22,0,0,8,6,4,1,7,2,0,28,5
MD,Montgomery County,41,22,12,13,20,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0
MD,Prince George's County,49,25,14,15,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MD,Queen Anne's County,70,50,48,41,53,15,4,14,12,14,22,25,3,1,22,2,6,6,12,4,0,14,9
MD,Saint Mary's County,81,57,55,52,63,14,4,12,10,5,12,31,0,0,22,0,0,2,10,0,0,2,3
MD,Somerset County,80,44,41,39,45,2,2,1,6,4,11,29,0,2,24,4,1,7,18,1,0,15,9
MD,Talbot County,60,41,42,45,51,18,10,20,22,15,28,34,4,3,26,4,2,16,13,4,0,19,17
MD,Washington County,73,66,55,64,68,19,4,35,28,18,36,38,3,0,34,3,12,13,28,3,0,22,18
MD,Wicomico County,94,77,67,75,84,27,4,42,38,28,42,55,1,8,52,9,17,20,33,3,1,24,29
MD,Worcester County,98,70,58,57,60,12,31,11,21,9,25,24,3,4,34,0,1,5,12,1,1,3,9
MA ,Barnstable County,60,35,40,22,43,9,3,19,4,2,14,23,5,0,3,3,2,0,0,2,0,11,13
MA ,Berkshire County,57,40,43,29,39,7,2,2,2,1,11,19,1,0,1,2,9,5,5,5,0,13,15
MA ,Bristol County,59,36,40,31,49,15,3,19,9,4,13,23,4,0,2,6,6,6,3,1,0,9,15
